house_type,house_size,location,latitude,longitude,price,numBathrooms,SecurityDeposit,Status
2 BHK Apartment ,850 sq ft,Chembur,19.05188942,72.8862381,50000,2.0,No Deposit,Semi-Furnished
2 BHK Apartment ,"1,245 sq ft",Chembur,19.05451012,72.89835358,65000,2.0," 2,00,000",Unfurnished
1 BHK Apartment ,550 sq ft,Chembur,19.05404472,72.89080048,42000,1.0,No Deposit,Semi-Furnished
3 BHK Apartment ,"1,350 sq ft",Andheri West,19.1389389,72.83456421,148000,3.0,No Deposit,Furnished
1 BHK Apartment ,650 sq ft,Kandivali West,19.2016964,72.82946777,29000,2.0,No Deposit,Semi-Furnished
1 BHK Apartment ,645 sq ft,Andheri East,19.12276459,72.88446045,45000,2.0,No Deposit,Semi-Furnished
2 BHK Apartment ,950 sq ft,Bandra West,19.05635643,72.8288269,110000,2.0,No Deposit,Semi-Furnished
3 BHK Apartment ,"1,710 sq ft",Kharghar,19.07069588,73.07765198,35000,3.0," 2,00,000",Semi-Furnished
2 BHK Apartment ,"1,100 sq ft",Kurla,19.06987572,72.87733459,55000,2.0,No Deposit,Furnished
2 BHK Apartment ,"1,008 sq ft",Mulund West,19.15857124,72.94791412,38000,2.0,No Deposit,Semi-Furnished
2 BHK Apartment ,950 sq ft,Powai,19.11515236,72.90356445,60000,2.0,No Deposit,Furnished
1 BHK Apartment ,680 sq ft,Goregaon East,19.16916656,72.87172699,42000,2.0,No Deposit,Furnished
2 BHK Apartment ,"1,165 sq ft",Thane West,19.26286888,72.97666168,7500,2.0," 15,000",Semi-Furnished
3 BHK Apartment ,"1,300 sq ft",Ghansoli,19.12031364,72.99881744,65000,3.0,No Deposit,Furnished
2 BHK Apartment ,"1,210 sq ft",Mahape,19.11924934,73.02577209,30500,2.0," 90,000",Unfurnished
1 BHK Apartment ,644 sq ft,Ghansoli,19.12399673,72.9980545,17000,2.0," 45,000",Unfurnished
3 BHK Apartment ,"1,650 sq ft",Ulwe,18.97127914,73.01783752,20000,2.0,No Deposit,Unfurnished
2 BHK Apartment ,825 sq ft,Thane West,19.22903824,72.98190308,25000,2.0,No Deposit,Semi-Furnished
3 BHK Apartment ,"1,500 sq ft",Borivali East,19.2212677,72.85808563,82000,3.0,No Deposit,Unfurnished
1 BHK Apartment ,530 sq ft,Andheri East,19.12290573,72.88780212,32000,2.0,No Deposit,Unfurnished
2 BHK Apartment ,"1,050 sq ft",Goregaon West,19.16894722,72.84313965,65000,2.0,No Deposit,Unfurnished
2 BHK Apartment ,"1,100 sq ft",Kharghar,19.04759026,73.0774765,40000,2.0,No Deposit,Furnished
2 BHK Apartment ,950 sq ft,Tardeo,18.97760773,72.81012726,125000,2.0,No Deposit,Furnished
4 BHK Apartment ,"2,450 sq ft",Kharghar,19.03163338,73.06708527,65000,4.0," 1,00,000",Furnished
3 BHK Apartment ,"1,300 sq ft",Vasai,19.36641502,72.82137299,18000,3.0,No Deposit,Semi-Furnished
1 BHK Apartment ,610 sq ft,Virar,19.47192574,72.80041504,6500,2.0,No Deposit,Semi-Furnished
2 BHK Apartment ,"1,000 sq ft",Borivali East,19.22208595,72.86083984,40000,2.0," 2,00,000",Unfurnished
2 BHK Apartment ,"1,050 sq ft",Chembur,19.05596924,72.90213776,53000,2.0,No Deposit,Semi-Furnished
1 RK Studio Apartment ,344 sq ft,Goregaon East,19.15221214,72.88626099,10000,1.0,No Deposit,Unfurnished
3 BHK Apartment ,"1,400 sq ft",Powai,19.12042046,72.91013336,85000,3.0,No Deposit,Semi-Furnished
3 BHK Apartment ,"1,500 sq ft",Pali Hill,19.06731033,72.82647705,275000,4.0," 8,00,000",Furnished
2 BHK Apartment ,700 sq ft,Thane West,19.20825768,72.96101379,30000,2.0,No Deposit,Furnished
4 BHK Apartment ,"2,530 sq ft",Wadala,19.01874352,72.86030579,325000,2.0,No Deposit,Semi-Furnished
1 BHK Apartment ,460 sq ft,Tardeo,18.97781944,72.81047821,85000,1.0,No Deposit,Furnished
2 BHK Apartment ,800 sq ft,Lower Parel,19.00576019,72.82849884,160000,2.0," 3,50,000",Semi-Furnished
